genename,Tce_WB_log2FC_SB,Tce_WB_FDR_SB,Tce_WB_sexbias,Tce_WB_log2FC_SA,Tce_WB_FDR_SA,scaf_name,linkagegroup,chr_type
RBBH-17093,0.158590011,0.744075209,Unbiased,-0.004124611,0.99796615,CM009481.1,LG6,A
RBBH-17094,0.399060179,0.344039687,Unbiased,0.135070303,0.962260904,CM009479.1,LG4,A
RBBH-17095,0.339669684,0.596170342,Unbiased,-0.462156799,0.784661056,CM009479.1,LG4,A
RBBH-17096,-1.131404327,0.010293226,male_biased,-0.05815335,0.983288495,CM009472.1,LG1,A
RBBH-17097,-0.060001067,0.915201428,Unbiased,0.07520385,0.974800993,CM009473.1,LG10,A
RBBH-17098,-0.145015263,0.845761583,Unbiased,0.065960676,0.98810317,CM009475.1,LG12,A
RBBH-17099,-0.524745442,0.731364892,Unbiased,-0.121564399,0.981287099,NA,NA,NA
RBBH-1710,-0.70676465,0.394748463,Unbiased,-0.137489615,0.975871533,CM009481.1,LG6,A
RBBH-17100,-0.443180072,0.582015356,Unbiased,0.024887495,0.99531583,CM009476.1,LG13,X
RBBH-17101,-0.632641493,0.429823778,Unbiased,0.316950899,0.932046956,CM009472.1,LG1,A
RBBH-17102,1.273526355,0.043761432,female_biased,-0.287977496,0.94605069,CM009478.1,LG3,A
RBBH-17103,-0.041903894,0.943478807,Unbiased,-0.609476001,0.389126804,CM009478.1,LG3,A
RBBH-17104,-0.087048724,0.898466876,Unbiased,0.064095226,0.977420535,CM009481.1,LG6,A
RBBH-17106,-0.995659586,0.008106238,male_biased,0.29588383,0.825824248,CM009483.1,LG8,A
RBBH-17109,0.61542917,0.351087648,Unbiased,-0.170849481,0.969965601,CM009482.1,LG7,A
RBBH-17110,0.441321656,0.548500784,Unbiased,0.17567138,0.918276431,CM009480.1,LG5,A
RBBH-17112,0.514684522,0.538357745,Unbiased,0.356585728,0.907294439,CM009478.1,LG3,A
RBBH-17113,0.755692684,0.035477351,female_biased,0.354821235,0.799357037,CM009474.1,LG11,A
