genename,Tce_LG_log2FC_SB,Tce_LG_FDR_SB,Tce_LG_sexbias,Tce_LG_log2FC_SA,Tce_LG_FDR_SA,scaf_name,LG,chr_type
RBBH-17290,-2.129992701,0.029561075,male_biased,0.109367979,0.920687981,PGFK01001247.1,NA,NA
RBBH-17297,-0.30322093,0.908926919,Unbiased,0.386152048,0.392050979,CM009478.1,LG3,A
RBBH-17298,-0.235116575,0.924093981,Unbiased,0.14773056,0.754668332,PGFK01000663.1,NA,NA
RBBH-173,0.234846339,0.897899395,Unbiased,0.302489423,0.33212485,CM009479.1,LG4,A
RBBH-1730,0.974408502,0.158591101,Unbiased,0.241933679,0.623842547,CM009483.1,LG8,A
RBBH-17301,-0.591184091,0.562866495,Unbiased,0.697785542,0.113894772,CM009478.1,LG3,A
RBBH-17302,0.257600893,0.936826677,Unbiased,-0.220806508,0.571249141,CM009482.1,LG7,A
RBBH-17303,0.3566618,0.850072448,Unbiased,-0.715500726,0.005584389,CM009481.1,LG6,A
RBBH-17305,-0.322207217,0.946068824,Unbiased,-0.628063017,0.348506609,PGFK01002391.1,NA,NA
RBBH-17306,0.013614013,0.997686618,Unbiased,-0.056928617,0.891046415,CM009482.1,LG7,A
RBBH-17308,0.52802222,0.841127032,Unbiased,-0.808206418,0.022712112,CM009479.1,LG4,A
RBBH-17309,-0.005641419,0.998561892,Unbiased,1.899222952,1.50E-13,CM009482.1,LG7,A
RBBH-1731,-0.074693293,0.989734521,Unbiased,0.358526909,0.418159883,CM009480.1,LG5,A
RBBH-17310,0.493173503,0.833120456,Unbiased,-0.133402608,0.886105281,CM009477.1,LG2,A
RBBH-17312,-0.892506372,0.033540959,male_biased,0.368369585,0.269483495,CM009480.1,LG5,A
RBBH-17315,0.739178565,0.59747406,Unbiased,-0.404054578,0.351429969,PGFK01001247.1,NA,NA
RBBH-17316,0.039599475,0.994495501,Unbiased,-0.10422125,0.780642281,CM009474.1,LG11,A
RBBH-17318,-0.108814905,0.980980293,Unbiased,-0.226590064,0.602921418,CM009480.1,LG5,A
RBBH-17319,0.136536155,0.981256084,Unbiased,0.202633117,0.750073577,CM009478.1,LG3,A
RBBH-1732,-0.120165173,0.971489035,Unbiased,0.515832871,0.044547022,CM009478.1,LG3,A
RBBH-17320,-0.560715497,0.885405977,Unbiased,1.402604994,0.001779044,CM009474.1,LG11,A
RBBH-17321,0.466973449,0.924093981,Unbiased,-2.026301069,6.37472E-05,CM009473.1,LG10,A
RBBH-17322,0.038162672,0.99542733,Unbiased,-0.713712895,0.002145503,CM009480.1,LG5,A
RBBH-17323,0.91169699,0.24667151,Unbiased,-0.098834015,0.838748886,CM009479.1,LG4,A
RBBH-17324,0.457562639,0.973416641,Unbiased,-0.526634189,0.652893839,NA,NA,NA
RBBH-17325,0.745312923,0.501855418,Unbiased,-0.466469111,0.367708786,CM009479.1,LG4,A
RBBH-17326,-0.635040412,0.519273712,Unbiased,0.139585424,0.793627265,CM009474.1,LG11,A
RBBH-17327,-0.676103676,0.30036406,Unbiased,-0.060853761,0.909803601,CM009476.1,LG13,X
RBBH-1733,-0.179140651,0.985714406,Unbiased,-0.535020664,0.550279156,CM009481.1,LG6,A
RBBH-17331,0.343716966,0.828423656,Unbiased,-0.685733087,0.008864128,CM009480.1,LG5,A
RBBH-17332,-0.006997784,0.998561892,Unbiased,0.436521834,0.332220923,CM009472.1,LG1,A
RBBH-17333,0.177215174,0.961881268,Unbiased,0.027806958,0.954870382,CM009482.1,LG7,A
RBBH-17334,0.369572757,0.764902965,Unbiased,-0.288380244,0.402964845,CM009481.1,LG6,A
RBBH-17335,-0.086076534,0.980980293,Unbiased,-0.151583368,0.653864595,PGFK01000384.1,NA,NA
RBBH-17337,2.221035835,2.99831E-05,female_biased,-0.536604264,0.240492937,CM009472.1,LG1,A
RBBH-17338,-0.166005737,0.969942104,Unbiased,-0.060733671,0.920771825,CM009483.1,LG8,A
RBBH-17339,0.273809438,0.954639397,Unbiased,-0.171076989,0.805893854,CM009480.1,LG5,A
RBBH-17340,-1.654658951,0.002039651,male_biased,-0.046607196,0.939516156,CM009481.1,LG6,A
RBBH-17341,-0.560170859,0.710760463,Unbiased,0.691314712,0.140174276,CM009478.1,LG3,A
RBBH-17342,-0.197019668,0.941656612,Unbiased,0.588052706,0.054665986,CM009481.1,LG6,A
RBBH-17344,-0.452045838,0.911220267,Unbiased,0.86405662,0.050657294,CM009479.1,LG4,A
